Hora,Post,Local
"June 11, 2017","Waited about 75-85 minutes for food (chicken burgers, all quick and easy aside from one order of mussels). It was busy - but nothing out of control (most people were just getting nachos and drinks). When our food arrived, it was cold and my buddy had a few mussels that had opened up but completely raw, and cold. They comp'ed his bill (kind of have to at that point) which was good, but there's a clear problem in the kitchen. Pub food is meant to be efficient, quick, and easy. ...Draft beer was great, but the specialty coffees didn't have any garnish or whipped cream (they looked super unappetizing and weren't well received). Our server was nice and understanding, but from someone who works and has worked in the industry for 7+years it was clear that she knew things weren't going well and didn't want to talk to us about it. TIP: just telling your table ""just so you guys know, there's a long wait for food right now"" goes a REALLY long way. Don't leave your tables in the dark, and talk to them like people and not like customers. Last time I will be eating here unfortunately until they make some changes.",
"June 3, 2017","Nice patio and friendly service, however we were told it may be up to 30 minutes for food which was long but okay considering they were busy. We ordered and decided to go with a Chicken Pub Club  sandwich w/fries and a Salad (shouldn't take too long). Considering it was only a sandwich and Salad, 30 minutes is pushing it, but after around 1 hour we had still not received our food. Finally after around 60 minutes our mediocre sandwich and salad arrived. The only problem was that there was no chicken in my sandwich. Feel bad for the servers cause clearly the kitchen can't get it together. Won't be back unless it's for a beer, at lest they were cold.",
"June 16, 2017","Went there last night for wing night but we decided to order meals. It was around 5 oclock, our order was taken right away! We got our food super quick I even said to our waitress that was like less then 15 minutes for a customized Buffalo chicken sandwich with fries and a Pub Club customized wih fries. And wings to go! Was awesome service, drinks were served instantly, waitress was super friendly! Great experience! The stache is my fave downtown :)",
February 11,Great service great food and drink and the band was great took look forward to going back real soon!,
March 14 at 12:48am,Went with a group of 10. Service was extremely great (Jenna). Food was very good - said 9 out of 10 if us. Look feel (environment) was unique and cool. Really glad I went..great experience!,
"June 23, 2017",We had a 40  min wait for 10 wings and a fish taco on wing night . I don't mind waiting for my food  if I am out for the night having fun .but when you wait 40 min for your food it should be hot when you get it  not cold !!!. Ours was cold.,
"September 13, 2017",Very good chowder! Calamari was mediocre but had nice dips. Buddy had a Burger which he liked very much. Patio was good fun and our waitress was cute and very helpful & friendly.,
"August 11, 2017","I enjoyed my time here very much, the atmosphere has a certain level of classiness to it, the food is very good, the hospitality is great and our server in particular was very sweet, made us feel comfortable and was just a sweet heart.",
January 16,"Great supper, The food was delicious! Highly recommend this restaurant.",
"July 15, 2017","We got their around 3:00 and we able to sit on the patio...it was a beautiful day and our lunch was pretty good ...we had salads, potato skins, chicken wings and chicken Alfredo...everything was delicious ...we will  come back again very soon...we just love sitting on the patio in the summer...:)",
"July 28, 2017",Great place for wings and beer!  Great service and nice roof top patio!,
March 19 at 7:30am,Great service and lively Music🎶🎵🎼!  Good food!,
March 12 at 8:31pm,Great food! Great service.! Great atmosphere! Loved it!,
"August 21, 2017","Good location nice rooftop. Food below average, below average presentation, and they took their sweet time to bring in the order.",
"May 4, 2017",The food was affordable but average. The place was busy and the staff was quick and nice. Overall it's a good place for a drink and pub food,
"September 3, 2017",Great food and service. Nine Locks on tap the clubhouse was awesome,
"August 16, 2017",Food came out very quickly and was delicious. Service was quick and very friendly. Would definitely recommend!,
"September 6, 2017","Great food, fast service and beautiful women..... what more could we for?",
"August 2, 2017","Very good service, great selection of beverages and delicious hamburgers! Will definitely visit the next time in town",
"May 20, 2017","Lunch time was very busy and we were a group. The food was slow in coming, roughly 35 minutes but we were told 20-25. I had the southwest quinoa bowl, which I've had previously. So tasty! Great to see healthy options on the menu.",
"November 15, 2017",Lovely staff. Excellent food. Can't wait to come back. Blessings. �����,
"August 23, 2017","Great food, and great staff, always make a stop when I'm in Halifax",
"July 18, 2017",Great spot on the rooftop patio. Service was excellent and the beer was cold!,
January 27,Awesome atmosphere! Great tunes ! Great Food! .....But No Bud Light! WTF?,
"April 23, 2017","I had supper at this restaurant.  I ate there before and it was always at night.  I don't know if there is different cooks in the daytime, but our food was not great. I gu5its a hot and miss place. Before I ate there Saturday I would of recommend it.  I'm not so sure about that now.",
"June 15, 2017",$16 for 10 anorexic chicken wings that looked like they could of came off a humming bird. Extremely disappointing.  For the price there should be some actual meat on them not just deep fried breading.,
"August 17, 2017",Great food drinks and atmosphere. Deff will visit again when in the East Coast again �,
"August 2, 2017",The food and service amazing a lot could be learned by the folks in Durham/Toronto,
"May 12, 2017",Mikayla is the most kind and beautiful waitress ever....  my friends and I spent a very good time last night!!!! Wing night rules!!!!!!,
"September 2, 2017",Great time listening to Joe Murphy with something to eat!,
"June 17, 2017","Visiting from Spain, read good reviews so we popped in, loved it, great burgers & pasta, wonderful local ale. The waitress was great and the whole place has a good vibrant feel.",
"July 23, 2017",Perfect mimosas and wonderful brunch selection! Love your staff and atmosphere!,
"June 8, 2017","Excellent food, great in house brewed beer and wonderful service. We will be back!",
"June 24, 2017",awesome time and food and service ...would definitely recommend a stop in,
"August 6, 2017",Saturday afternoon entertainment was fantastic and the nachos were delicious,
"May 22, 2017","Good food, good service but can get very noisy when there is a full house.",
"September 6, 2017",Rib Special. Amazing A++. Estelle was a great hostess as well.,
"July 12, 2017",Great atmosphere. ....friendly staff and delicious food. .,
"July 2, 2017",Really great food and really great service. Can hardly wait to go back again.,
"June 11, 2017",It's a great pub and eatout! Gotta love the food!,
"July 10, 2017",Service was fast and the Chicken  Pub Club was delicious.,
"May 18, 2017",I took my brother there for dinner. We were both impressed by the delicious food and the attentive and friendly service :),
"May 15, 2017",Awesome staff. Awesome food. Awesome atmosphere. Awesome prices. Will definitely revisit once or twice before I leave.,
"May 19, 2017","Reasonable atmosphere, average service. Nice deck on a sunny warm day.",
"July 2, 2017","Went for a Sunday brunch today and left after one hour and 20 minutes with no sign of our eggs benny. The server had no tableside manner, never cleaned off our table until we had been sitting there for 25 minutes, we waited 30 minutes for our drinks and she never returned to ask if we wanted another and then gave me attitude when I asked for the drinks bill as we had waited more than enough time. Will never return there food and will never recommend it to anyone either!",
"April 22, 2017","Always a very accommodating place the food we had yesterday was the best and the friendly server is so pretty and helpful it makes the Friday happy hour smooth, thanks Stella �",
"April 16, 2017",I had eaten here before for supper and loved the menu. We arrived at 12:45 and sat ourselves. A server never came to our table until 15-20 minutes after we sat down. Understandable if the place was full but it was at 1/3 capacity. 4 waitresses were chatting at the cash the whole time. The food was good and the waitress was very friendly. I was also disappointed at the brunch menu being in effect until 3pm as it was very limiting.,
"April 10, 2017",Scrambled eggs were very dry.  Did not get eaten. Egg breakfast sandwich - bread tasted sour.   Friendly service but not fast.   Usually is much better.,
"April 9, 2017","Excellent food, the band that played was awesome and the service was very fast! I will be back",
"April 2, 2017","The food was great the music was good, a bit loud to have any kind of conversation.....it was fun though :)",
"March 28, 2017",Burger was fantastic!! So delicious!! Great service! Really enjoyed my dinner there!,
"March 22, 2017",My son and 2 grandson's are visiting from Port Alberni and we had lunch here yesterday. Steve (my son) and I both had the Cheese and Bacon Burger. We are both in agreement. It was without a doubt the best burger either of us have ever had.I understand that the beef is freshly ground on site and it really comes through in the flavour.The mixture of cheeses on the burger was amazing and we were still talking about the burger later that afternoon.I should point out that Steve is an executive chef in Port Alberni. The service was beyond excellent - unfortunately I have forgotten his name but he is a real asset to YFM. Thanks for an awesome lunch.,
"March 21, 2017",Had a rib steak with my kids 2 and 4 years old and we got food poisoning called them didn't even get a call back....,
"March 18, 2017","St Paddy's Day activities.  Great food,people, and staff. Bands were excellent. Great friends and good times.",
"March 18, 2017",Staff is super friendly and goes above and beyond. .food was delish! Top notch entertainment!,
"March 9, 2017",Ribs are tender fall off the bone and mouthwatering !! Service was excellent and great atmosphere !!,
"March 5, 2017",Loved the Pad Thai and the excellent service!!  Handsome bartender!!,
"March 3, 2017",The food was great and very nice atmosphere.  Also waitress was very friendly.,
"February 26, 2017","Great food, great craft beer and great atmosphere!  Can't wait to go back!",
"February 24, 2017",Enjoyed a lovely lunch! The Quinoa bowel was delicious and the Service was great! Thanks!,
"February 19, 2017","We didn't realize when we went there was a live band there, it was soooo loud we couldn't hear anyone at our table. It was an awesome band but was too loud.",
"February 18, 2017","So was in Halifax today and though I would treat myself to a nice eggs Benedict. Back when I lived in the city always was at the moustache every weekend for brunch (eggs Benedict). Place itself now looks great wish I could say the same for the eggs...  1 - eggsbenidect are poached NOT fried... If I wanted fried eggs on a English muffin I would have gone and got a egg McMuffin 2 - eggsbenidect are made with backbacon not ham.... Once again egg McMuffin would have been a better... fit 3 - hollandaise sauce... Not sure what that was but was not hollandaise... Have eaten canned hollandaise that tastes better... No wait I mean  actually had a taste... ( From feedback I got from waitress I'm apparently not the 1st to complain about the hollandaise) 4 - toast, first off not sure why anyone would include toast with benny figure english muffin would be enough... What about having more spread options than just strawberry and peanut butter Good things - overall other than plain sauce meal was palatable asked for runny eggs and the were (just fried not poached) side of sausage was tasty (qty reduced since last time I was in from 3 links to 2). Waitress was efficient and attentive and order was quick to table  Well to sum things up farwell old haunt as think today will have been my last visit to this establishment. I will try and block out today and just keep memories of the good times from the past and the good food from those times. ... Shame on you Shaun for cutting corners on food quality.",
"February 17, 2017",It's one of the amazing places that have chicken wings!!! 😍😍😍,
"January 31, 2017",loved it!!  We were looking for some good food in a place with good atmosphere ... Your Father's Moustache Pub had both and more.,
"January 27, 2017","Food is absolutely amazing, and the service is above what it has to be! The waiter was amazing and came by whenever we needed her. Definitely will come back to eat here again in the future!",
"January 23, 2017",Always enjoy my dining experience with good friends at The Stache! �,
"January 22, 2017","Went for the Saturday blues with Joe Murphy and the Water Street Blues Band, great music, lots of dancing, excellent service and delicious food.",
"January 20, 2017","Wing night! Amazing wings with many dip flavors, Excellent service. (Thanks, Zac)",
"January 20, 2017","It was awesome! The wings were great. Zac, our server was excellent! He chatted with us while he served. The other servers were great as well! Great atmosphere! Thanks for the experience!",
"January 20, 2017",Your Father's Moustache is quite simply the best chicken wing joint on this planet...,
"January 14, 2017","My husband and I had brunch there this morning for our anniversary, and it was one of the best meals we have had in a long time!  The staff was super friendly and the food was delicious!",
"January 6, 2017","Love visiting and catching up with Joe Murphy, who was my Jr high gym teacher before he became a big star :)  Food is great and atmosphere is chill.",
"January 1, 2017","Our fav Halifax breakfast. The place was packed today (New Years day) but they had a huge team of staff on. We waited a reasonable amount of time for our food, but the server apologized for the wait several times. Plenty of good coffee and the best blueberry pancakes around.",
"January 1, 2017",Really good food and drinks. Staff were polite and helpful. It was a quite night and I am very glad my boyfriend and I went there. I recommend going and I will be returning again.,
"December 30, 2016",First time eating there and the food was delicious. When your in halifax go to this restaurant.,
"December 29, 2016",Went with my daughter.  Food was great and service was friendly and attentive!!,
"December 27, 2016",My first time there. I had the fish and chips and my friend had the fishcakes. Food was excellent so was the service.,
"December 18, 2016","Best food in a long time, I had the chicken Alfredo was perfect, great service as well.",
"November 6, 2016",My first time eating at this place and it was awesome!  The pub club was the best!,
"October 21, 2016","Was a great first experience as my first time; our waitress Stephi (if I remember correctly) was excellent and friendly and very helpful - service was amazing, fast and the food was delish! And price wise - what a win!",
"October 16, 2016",Listening to Joe Murphy and the Water Street Blues Band and eating delicious food!! Great food & entertainment!!!!!!,
"October 9, 2016",We went and my wife had club house sandwhich and poutined her fries which she thought was good. I had 2 piece fish and chips....the fries were good...now for the fish.... Everywhere i go i get 2 piece fish and chips...the fish were small.. i would normally eat 1 and take the other home i ate both i think it was cooked well little to no seasoning tho. For what it cost 15 something before tax which is alot for a 2pc it was more like a 1pc. Other than portion size the service was ok but if I went back i wouldnt get the fish. Sorry,
"October 9, 2016",Club sandwich was pretty good and fries were really good. Well cooked and crunchy,
"October 7, 2016","The food is good, and the service is excellent �����",
"September 29, 2016","Great service and food, one of my favorite eateries in Halifax.",
"September 27, 2016",We had originally burgers they were awesome absolutely enjoyed and atmosphere was great Leafs in town...definitely go back,
"September 26, 2016","The moustache was always one of my fav spots to go when I went to Dalhousie University about 8 years ago. I came back to it just this Saturday to reminisce and take my BF there to show him why I loved it. My love for this place is now tainted:( No longer serving deep fried pepperoni nor MooseLight (my staples! Lol) I was disappointed. Then came the waitress...she was snotty and acted like she could care less. (She had dark hair, red lips and hoop earrings. Calling her out yes.) Never saw her for the rest of our service, had someone else deliver our food and didn't check in. Just act like you care, maybe you'd get a better tip next time. Not the happy space I remember:(",
"September 21, 2016",Great place. Lobster Roll was fantastic and service was amazing. Beer wasn't bad either.,
"September 20, 2016",I had quite a delicious feast here this evening. The service was great (thanks again Lindsey!) and the atmosphere was very lively and relaxing all at once. I highly recommend this pub.,
"September 17, 2016",went there last night waited 15mins no one came to see us or even acknowledge us.a bunch of the staff were sitting at a table laughing and talking. walked out went to eat across the street.,
"September 11, 2016",I love it there. Great food. Excellent music and lots of dancing,
"September 10, 2016","I love it!! I've been there so many times the past few years and as always it's good food, good music and great service :)",
"August 29, 2016","4 of us arrived for a meal with a 4 year old who had fries with him from mc Donald's and after being seated and given a menue another waitress came over and said he needed to hide his food under the table or we needed to leave. So we left, I have never been talked to like this in an establishment before, we went to another restrauant and was welcomed and they gave us a plate for our son, we stayed a long time and spent lots, your loss I guess. I will make sure I spread the word.",
"July 31, 2016",good eats and friendly staff. Service was fast and lots of seating.,
"July 29, 2016",Great food & service !! Highly recommanded,
"July 27, 2016","I ordered the Chicken and Mushroom Penne Pasta to go. I got back to my hotel room and opened the package. The outside of the take out box looked dirty, and one of the napkins had a red pepper mashed into it.  The actual food was boring, way too oily and the bacon tasted like it was freezer burnt.  I am disappointed and sad as this place was recommended to me by some friends who really enjoy it    :(",
"July 25, 2016",I like the service. And the food is wonderful. Ordered a lot of food from this place. And was worth every penny.,
"June 25, 2016","Classic Pub fare, food was good, check out the men's room.",
"June 23, 2016","One of my favourite eateries in Halifax with a great atmosphere at any time of the day. The food is reasonably priced, plentiful and extremely good. Servers have always been upbeat, friendly and efficient.  As an aside, Ladies, ask for a glimpse of the guys washrooms- it'll make you smile. I'll say no more",
"June 2, 2016","Des ribs au top, un service de qualité ,un roof top ! Bref une excellente soirée .",
"May 30, 2016",This is by far our favorite place to eat in halifax : ) service and food never disappoint!!!!,
"May 21, 2016",Best food in downtown!  My favourite spot :),
"March 21, 2016",Excellent food and service! Poutine reccomended highly :),
"March 8, 2016","I came in tonight hoping to get the half off pasta as I have many times in the past. I double checked the website to make sure this was still a deal on Tuesday nights. I saw the Tuesday picture was pasta, so this made me believe the special was still going. When I came in I was surprised to learn this was not the case. I felt disappointed and very mislead by the website.",
"February 15, 2016",Had a great brunch here on Valentine's Day. The server was great at her job. This place came highly recommended and I would definitely return.,
"January 8, 2016",Awesome place!! I've only been there once but I really enjoyed my food and experience! ❤,
"January 1, 2016",I was there tonight for New Years Eve and everything was great. The waitress was very friendly,
"August 26, 2015","Was one of the best places I've ever ate, I recommend the gormet Mac and cheese! The server was also beyond polite and on top of it all!",
"July 6, 2015","I usually enjoy going to this restaurant, I have been to it many times, but last night was one of worst experience I ever had and for that I suggest to fix up your services and train your managers to be more respectful to an unhappy customer. Sunday at 10pm there were barely any customers at the restaurant and we waited about 15 minutes until I finally waived at a waiter to come to our table and I immediately asked for the manager, she then came to us and we explained to her ...how no one decided to come to our table while a couple of the waiters passed right by us and did nothing, yet again there were 3 waiters standing right infront of us laughing and having conversation and the manager had the nerve to say ""all the waiters were busy"" yet again she says "" your waiter is here now if you would like to order if not you can leave."" How is that for fixing a situation and that is the manager that did that. Bravo you guys just lost a very loyal customer due to untrained unprofessional so called manager.",
"June 18, 2015",Cold beer! Great Service! Rooftop patio!!! What more does anyone need?,
"May 5, 2015",Recieved the worst service here. My waitress forgot to give me all of my change back when I payed for my meal and then argued with me and accused me of lying when I told her. She refused to let me talk to the mananger and was completely unprofessional. Will not be eating here again.,
"April 28, 2015",After leaving another restaurant due to bad/no service was happy to see the overwhelming service and pleasantries at this restaurant. Well done,
"April 10, 2015","Best chowder EVER - Thanks Johnny for the hospitality, will be back in a few weeks. Cheers!",
"December 26, 2014","I love the food, and it's always great service! :)",
"December 5, 2014",Awesome brunch..:),
"August 14, 2014","Great food, terrible service. I'm writing this at minute 22 in my wait for my bill. 5 tables seated after me have come and gone. The other waiting staff is doing great, seems our is the exception.",
"July 30, 2014","I normally have a pretty good experience when dining at the Mustache so I was very surprised and disappointed by the experience I had last night. Last night I and my girlfriends went to The Mustache for drinks and dinner. We love the patio. I have never in my life been so disappointed with the food and the service. It was absolutely appalling. I’m not one to complain in person or even on social media, life is too short to sweat the small stuff but I am so upset and bothered b...y the experience I had last night  I thought I would take to social media. Upon arrival we ordered our food. I had a calamari appetizer.  The server asked me how I would like the sauce, tossed or on the side, leaving out that there would be a charge for those sauces. That’s fine but tells me you are charging me for something. We waited quite some time for our food, and when they finally brought it up they brought up my two girlfriends first and then almost ten minutes later, myself and my other girlfriends foods. My calamari was cold and rubbery. It was so awful I just stopped eating it. Did my server ask me why I had half my meal on my plate no? My girlfriend’s meals were also luke warm. To add insult to injury they charged my roommate for a refill. Did they inform her of this charge? NO. For an 18.99 cold plate of calamari I was less than impressed and left feeling taken advantage of. Later that evening myself and three other girlfriends became ill with a stomach flu. This could be due to a completely different issue but it seemed fishy as we had all ate in the same place. As I said I’m not one to complain but I left very upset.  I will never eat at this establishment ever again.",
"July 18, 2014","I absolutely love the Stache!! Great service & the food is always tasty! If you're lucky enough to have Brownie as your server, be prepared to tip! He's so awesome!! :)",
"July 4, 2014",Most of the time when I come here its amazing.. This time is the worst ever though.. definitely do NOT recommend their clams... they were soggy and gross... and VERY expensive for the amount and the quality.. very disappointed..... what happened?!You used to be sooooo good!,
"March 28, 2014","Fast, friendly & delicious!",
"March 19, 2014",PUB CLUB!,
"February 23, 2014",Awesome service - great food!!  Had a blast this morning watching the game with the whole family at the Stach :)  Thanks again Mel!  You are an awesome server!!! Marion and Rod MacMillan,
"February 21, 2014",Always have a great meal here!!!  Especially love the Brunch!  Some of the nicest and best serving staff I've ever met!,
"February 13, 2014","great food, friendly staff",
"December 10, 2013",Awesome !,
March 4 at 7:43pm,,
March 3 at 4:07pm,,
February 25 at 11:07pm,,
February 16,,
February 5,,
January 14,,
"December 27, 2017",,
"December 24, 2017",,
"November 13, 2017",,
"November 10, 2017",,
"October 22, 2017",,
"October 9, 2017",,
"October 8, 2017",,
"September 25, 2017",,
"September 11, 2017",,
"September 11, 2017",,
"September 11, 2017",,
"September 2, 2017",,
"August 30, 2017",,
"August 27, 2017",,
