Hora,Post,Local
"February 23, 2017","Great neighborhood spot to unwind after work. The food is different than any other spot in town and in a good way. Try the ribs on Tuesday, the daily curry bowls or for weekend Brunch, the Fish & Chips. Nothing will disappoint.",
"January 22, 2017","I ate there for the first time last night, and it was amazing! I had the bowl of lighty-curried broth and ramen noodles, with perfectly battered haddock, egg, mushrooms, and a few other veggies. It was outstanding! The service was excellent, too.",
"September 9, 2017",Friendly staff and great atmosphere. Must try the sushi tacos!!!,
"March 6, 2016","I attended this restaurant for my first time last Thursday. I was blown away by the staff and owners, each one of them stopped by our table to chat and see how we were enjoying the experience. The food was so full of flavour! I was delighted. I will be back!",
"June 6, 2016","This place is amazing!! I had the warm sushi, lamb sticks and fermented Ribs dinner and it changed my world. Best meal out I've had in months. Service was fantastic and I'll be back again and again.",
"December 7, 2015","Went to Studio East last night and had a fantastic time. Two of us had the Ramen and another enjoyed the warm sushi and we all thought it was great. The atmosphere was awesome, with live music and our server was very pleasant. Definitely will be revisiting!",
"May 8, 2016","I loved this place so much. I got ramen and it was extremely amazing and full of so much flavour. The wait staff were excellent and friendly! The food came in a good amount of time. The place itself was unique and the vibe was outstanding. At the end of our meals, Saronn came by and made sure we were satisfied with the meal! She's a sweet person and needless to say I am definitely coming back here. It is now my (only)favourite place to eat in Halifax :)",
"November 6, 2015","My husband and I ate at Studio East for the first time last night, and it was STELLAR. I can't say enough about the food (every bite was delicious!) but we also loved the atmosphere and the service. My prediction is that this place is going to be crowded with Haligonians who want to ""regulars"".  Congratulations Ray and Saronn !",
"May 10, 2017","Not sure why we haven't come here yet. I want those two years of my life back. Unbelievable flavours, huge portions, funky atmosphere and wonderful service. We will be back. Hopefully soon.",
"December 12, 2016","First time there yesterday for Sunday brunch and it was outstanding! Their food, service and atmosphere is phenomenal .. we will definitely be back to try the dinner 😊🙌🏼🍷",
"June 23, 2017",The fish curry ramen is amazing! Cute lamb stick appetizer that also taste good! Love the setting and atmosphere! Great beer too!,
"October 2, 2017",The best food,
"March 27, 2017",This is definitely a must try place! I cannot wait to go back and try more of their delicious menu.,
"May 21, 2016","Delicious, unique, and beautifully presented food, with the best service I've ever had at a restaurant, the waiters recommendations were an absolute five star!",
"March 13, 2016",We tried it last night and I have to say: the food is de-li-cious and the atmosphere is awesome !  Definitely a must try/see in Halifax!,
"December 19, 2015","Love this place , the food is always good , the service is friendly and casual . Have had curry this good since leaving Australia",
"December 18, 2016","One of my favourite brunch spots! I can't even choose what's my favourite on the menu, it's all so delicious 😍",
"January 16, 2016","Best ramen bowl I've had in the city, great atmosphere and the service is unbeatable. Relaxed dining with the owners cooking and serving... Can't wait to go back!",
"February 25, 2017","Amazing food, amazing service, and a thank you from the owner on our way out. Will be back again.",
"June 9, 2016",My boyfriend and I go out to eat often. I had ramen and he had the burger. This is our new favorite restaurant & I can't wait to come back. Food was AmaZing,
"April 16, 2017","Great food, great atmosphere and great staff. Had an awesome time. Will definitely be back!",
"November 25, 2016","Great atmosphere. They're playing a Vanilla Ice, and their Ramen bowl has the best mix of lime and cilantro you could ask for.",
"February 4, 2017",Never Disappointed with the food or service!!! 🙂 Always worth the drive from the Valley!!,
"September 16, 2016",Pretty good service. Only one shared bathroom sucks and prices are bit high but I keep going back :) nice atmosphere.,
"December 4, 2016",Great selection of local microbrews and amazing food. The ramen bowls are filling and delicious!,
"February 21, 2016",Amazing service and atmosphere!! The wings are phenomenal !!!  I am a super foodie and this is my new fave in Halifax!!!!,
"April 16, 2017","Food was good, but atmosphere was too dark... couldn't see my food. Smoke was a little thick.",
"June 12, 2017",The curry fish ramen bowl is superb. Will be back.,
"October 31, 2016","Wonderfully prepared meal, great ambiance, excellent service! We will definitely be back next time we're in Halifax.",
"January 26, 2016",Excellent atmosphere...service was great and the pork ramen bowl was amazing. Recommend this to anyone,
"October 28, 2015","Good food, great staff and incredible atmosphere.  Can't wait to come back and bring friends!!",
"November 13, 2015","Awesome place, had dinner at Studio East with friends tonight food was excellent.  Check it out Halifax friends",
"November 26, 2015","Studio East was amazing. Good was delicious, staff were awesome and the atmosphere was fabulous. Great job. Keep up the great work.",
"August 4, 2016","Thank you again for a great evening. Food, staff and atmosphere...all amazing!!!",
"June 4, 2016",Great food packed with flavour. delicious! great addition to the neighbourhood .,
"November 5, 2015",the beef lok lak and bao bun are stellar! attentive service. great atmosphere,
"January 26, 2017",Wow! Ramen was incredible. Looking forward to trying the rest of the menu.,
"January 27, 2016","Excellent service, incredible atmosphere. I had the Cambodian-Thai Curry, it was amazing. I'll definitely be back!",
"November 20, 2015",Excellent food and even friendlier staff! We had the ramen and apple tarta and both were... Pretty dam good!,
"September 19, 2016",Delicious. Great patio and atmosphere. Awesome staff.,
"September 25, 2016","Warm, friendly and attentive staff. Delicious food. Looking forward to my next visit!",
"January 24, 2016","My husband & I loved our experience. The food, staff & atmosphere was amazing.",
"November 27, 2016","Super hip atmosphere, rock star service, mind blowing morsels! A MUST experience �",
"October 27, 2015","Great new spot! Casual, delicious and affordable.",
"October 24, 2015","delicious, flavorful appetizers, mains, and desserts.  looking forward to going back.",
"October 20, 2015",Food was great! Happy to have more goodness in our lovely neighbourhood!,
March 6 at 3:27am,,
February 16,,
February 16,,
February 16,,
February 14,,
January 14,,
"December 31, 2017",,
