Hora,Post,Local
"December 16, 2016","Brad, Dylan and Christina pride themselves on attention to detail. Always welcoming and friendly. Exceptional, professional service provided by an exceptional group.",
"April 23, 2015","Great guys, awesome atmosphere and interesting convo with fellow customers and barbers. Best of all got a great cut. Thanks guys",
"July 27, 2015","I stopped by for the first time and I have never seen better craftsmanship. If you want a haircut, just pretend the other places don't exist.",
"April 17, 2015","The barber you've been looking for. Solid dudes, good tunes, all class. See them for all your blood letting, back alley surgery and gentlemanly needs.",
"April 12, 2015",Congrats to the guys on the new shop. I have heard nothing but fabulous reviews about their work.,
"April 3, 2015","Best barbershop in town! Great service, great conversation. Straight up, straight edge!",
"April 15, 2015","Great atmosphere, amazing cuts what's not to love about this place?",
"May 1, 2015",Great experience in the chair yesterday! Thanks Dylan for the great shave and look forward to coming in again next time!,
"August 18, 2016",Christina is always great.  I have walked out of Scallywags unimpressed.,
"April 30, 2015",Brad used to give me excellent haircuts and beard trims at his old job. I can't imagine anything has changed.,
"May 9, 2015","Great barbershop atmosphere, the guys take their time to get the perfect cut..",
"July 25, 2015","Very solid place. Great atmosphere, great cuts, great people!",
"May 1, 2015",Unreal haircut one of the best I've had and awesome atmosphere!!,
"September 25, 2015","Got myself quite the beard trim today. Go for two reasons, atmosphere and skill.",
"June 13, 2015","excellent service, best haircut I've ever gotten. i strongly recommend them",
"April 1, 2015","Superb cut, fantastic beard trim. Glorious conversation. What more do you want?",
"April 22, 2015",Terrific experience. Great location. Even better people.,
"April 18, 2015",Good guys/location/atmosphere/cut. Thanks fellas...see Ya next month!,
"April 12, 2015",Muy fuego caliente.,
March 7 at 1:12am,,
March 2 at 8:19pm,,
February 7,,
January 4,,
"June 5, 2017",,
"April 13, 2017",,
"March 6, 2017",,
"March 6, 2017",,
"February 23, 2017",,
"February 19, 2017",,
"February 18, 2017",,
"February 6, 2017",,
"February 2, 2017",,
"December 21, 2016",,
"November 30, 2016",,
"September 15, 2016",,
"July 26, 2016",,
"June 19, 2016",,
