Hora,Post,Local
"February 12, 2017","Went here for the first time last night after hearing lots of good things about it. Needless to say, we were not disappointed. Lovely upbeat atmosphere with good popular music playing. It was lovely, the wait staff were prompt and knowledgeable and the food was fantastic!  We had the Seafood bruschetta to start and it was amazing! Scallop and huge shrimps in a delicious sauce over crispy toast. I also had a couple NS oysters with their homemade cocktail sauce. I can't wait to go back just for those! For our main, we shared the 30oz Cote de Boeuf which was cooked to perfection and absolutely delicious. Came with mashed potatoes and fries that were drizzled in a sour cream and balsamic sauce, as well as lovely golden beats, green beans and roasted cauliflower. Amazing experience, can't wait to go back!",
"June 14, 2017","Fantastic environment and atmosphere. The staff made us feel welcomed, while maintaining a professional and classy approach. Our waiter recommended the perfect steak and wine combo, with the steak cooked perfectly and bursting with flavour. Plating and presentation were phenomenal, and the wait was surprisingly short for how busy they were. Unbelievable whiskey selection, and despite having a broad range of cocktails to choose from, they made one off-menu for my girlfriend that she loved. It wasn't even as pricey as I was expecting, but worth every penny. My only regret was not coming back for breakfast.",
"July 7, 2017","This was the best food I have ever had. The staff were incredibly friendly, welcoming and knowledgable about the menu. The atmosphere makes you never want to leave. 5 stars are not enough",
"December 18, 2016","Back in June, we wanted to experience this restaurant for my birthday, unfortunately we had to cancel. Well we finally made it last night. Although the weather was messy, the effort our party made getting there was well worth the trip!  Our waitress was knowledgable, friendly and engaging. Our meal was fantastic, with the Chateaubriand cooked perfectly! Oysters were simply the very best. The decor is first class and creative. If you're looking for a 5 star experience, visit the Barrington Oyster Bar & Steak house. Already planning our next visit!  Thanks everyone.",
"November 10, 2017",Absolutely delicious �  Great friendly service and atmosphere  Canada � is beautiful  Nova Scotia wow!,
"June 25, 2017",Food amazing what is more amazing is that I left my expensive sunglasses there and flew back to Ontario the next day and the staff sent them to me in the mail!! Unbelievable this would never happen in Toronto. Amazing kind staff,
"August 29, 2017","George was spot on this place !!! Great food reasonably priced . No hurry , friendly and helpful staff. Highly recommend",
"March 13, 2017","First time and it was absolutely wonderful! The food was some of THE BEST we have had. First time trying Oysters and was very impressed with the whole experience... from staff talking to us about it, answering questions and all attention to the details + Wow! LOVED the Oysters! Also had your Seafood Pasta AMAZING (truly) and my husband commented several time how delicious the steak was. Atmosphere was perfect as well. All in all, your place is at the TOP of our list of restaurants in Halifax to visit now. Would highly recommend to anyone!",
"October 2, 2017",Consistently excellent food and service!  Highly recommend!!,
"July 6, 2017",Our rib eye steaks were tough and there wS a southwestern style sauce which was not listed on the menu . Our server was very nice .,
"October 30, 2017",Great vibe and Arsonite (lovely piano player) is was fantastic!!,
"October 28, 2017","Very relaxed atmosphere,great customer service,fantastic food.",
"May 19, 2017","We just enjoyed the best meal we have ever had, with live piano, and amazing service from Christine! Thank you for marking this part of our vacay so amazing!!!",
"April 30, 2017","The atmosphere and food were awesome , will definitely go back, the only complaint is the wine is pricy if it was more in line with other restaurants would be excellent�",
"March 1, 2017","Both experiences here have been fabulous! The atmosphere, food & service were spot on � Known for their high end steaks & oysters, but their wedge salad, chopped burger & fries are also amazing!",
"December 10, 2016",We would like to thank the staff at Barrington Steakhouse for turning what another local restaurant turned into an awful experience into an amazing night out!  Your service was the best!  Food was amazing!  Ty so much we appreciated being made to feel welcomed!,
"March 26, 2017",Very disappointed I started off with a warm beer and my food was way over salted its a shame because i heard good thing about this restaurant and I got a disappointment for my first time i wont be back,
"August 28, 2017",Awesome food and great service. We will come back for sure! Thank you for the lovely evening,
"September 17, 2017",Food and drinks were amazing! We will be back!! 💯,
"February 15, 2017",Always like to try new places when going to the city and this was fantastic. Atmosphere was really nice. Service was friendly. Music was so good and the good even better.,
"July 31, 2017",Excellent food and service.  Good bar and atmosphere. I'd highly recommend,
"January 17, 2017","I went for lunch yesterday to have my favorite food and being normally very picky with my oysters, I was very impressed with the selection and the care and quality of shucking. Dave was the barman and the one who shuck my oysters and was very friendly. Only good words!",
"September 7, 2017","Great food and great service, highly recommended!",
"April 10, 2017",Amazing calamari and definitely try the black IPA that they have tap. So good! Service is wonderful! Love the decor. Definitely a must try!,
"April 8, 2017",Best steak I've ever had....and the creamy dill roasted potatoes are to die for! Great service & atmosphere!,
"August 1, 2017","Great cocktails, and amazing service! Can't wait to be back.",
"May 19, 2017","Amazing!!!  Wonderful food, great drinks, cozy atmosphere and amazing service.  We will most definitely be back!  Thank you!",
"December 3, 2016","Mediocre and overpriced. Better food is available in the same neighbourhood for a lower price. Sorry, but you failed to impress me.",
"February 19, 2017","Fantastic meal, service and atmosphere! Shout out to Jason, top notch server!!!",
"February 22, 2017",One of the best meals I have had in Nova Scotia.    A little pricey but worth it,
"December 21, 2016",Fantastic food. Loved the wine. Our bartender was top notch. Highly recommend.,
"November 30, 2016","Love the light music Thursday, Friday & Saturday nights.  Food is fab and the Staff amazing. Great experience !",
"January 8, 2017","Amazing food, service and atmosphere! One of my favourite restaurants in Halifax 🍷",
"March 19, 2017","The food, atmosphere and service was fantastic! Will definitely be back",
"May 7, 2017",Great service complemented by a wonderful meal,
"March 22, 2017",Very cozy and classy. The wine was superb. Our Server polite and attentive.,
"April 30, 2017","Tenho certeza que foi a melhor lagosta que comi em minha vida! Fresquissima, bem preparada e saborosa! Pedi o Seafood Tower e acertei em cheio, pois veio com ostras, camarões, mexilhões e caranguejo! Um vinho da Nova Schotia completou a festa! I'm sure it was the best lobster I've had in my life! Fresquissima, well prepared and tasty! I ordered the seafood tower, and I got it right, because it came with oysters, shrimp, mussels and crab! A new wine has completed the party!",
"November 20, 2016","We were there for the first time to celebrate our 5yr anniversry and loved everything from the atmosphere, service and the food.  Our server Jason was incredible and helped make the experience that much more enjoyable.  We had the steak bread, salmon and steak.  Was all so delicious I didn't want my food to end.  We will definitely be back.",
"November 19, 2016","I dined here last night for my birthday and it was a lovely experience. Friendly and welcoming staff, a comfortable atmosphere and delicious food. I ordered the lobster mac and cheese and I must say it was the best I’ve ever had. We had a great time and I would absolutely recommend this restaurant to a friend.",
"October 29, 2016","My friends, boyfriend & I had dinner here last night. One of the best meals all of us had! The lobster mac and cheese was to die for. The seafood pasta my boyfriend had and the steak which my friend had both were out of this world. The service was extremely fast & to make the night even better I was presented with a lovely birthday dessert to share among us all! We will be back the next chance we get!",
"October 26, 2016","I went here for the first time this summer and the whole experience was absolutely amazing. My coworkers and I stopped in for an after work drink, had beautiful cocktails and some yummy appetizers. It was also my first time trying oysters and I am so glad that this is where it happened. The knowledge of the staff, the service, the atmosphere, the food and drink, everything was top notch. We also had charcuterie and the calamari, and it could easily be voted top in the city. I felt completely revitalized after my experience here. Five stars all the way! Go to the Barrington Steakhouse!",
"October 24, 2016","I was celebrating my 55th birthday when I got to experience this restaurant. I have to admit all 5 people in our group were very impressed with the preparation, presentation and portion sizes of our meals. I can only speak for myself but my New York Striploin was fantastic and super tender. I received a complimentary plate of fresh mini donuts with 3 dipping options because it was my birthday. Nom, Nom Nom :) All the staff were very friendly and Adam Baldwin was the entertainment which was also excellent.",
"October 9, 2016","Went there with a large group of people, food and service was excellent, will come again �",
"October 7, 2016","My husband and I came here for lunch on our 5th anniversary - the food was delicious and the service was excellent. We've brought friends back since for some appetizers, drinks, and music and were similarly impressed. A new local favourite!",
"October 1, 2016","First visit to the Barrington steakhouse.beautiful place, the food was and service was great if in Halifax again I will be back thanks for a wonderful meal all four sisters enjoyed it very much",
"September 17, 2016","Got off work with a few colleagues and decided on a nightcap at Barrington Steakhouse & Oyster Bar. Taylor and Will entertained us behind the bar with top notch service, drinks and food. The Calamari was perfectly cooked, the Charcuterie was well done and of course the oysters were delicious.  We couldn't have chosen a better place after work for a relaxing drink and overall great dining experience. We will be back with more friends soon! Thanks Taylor & Will!",
"September 17, 2016",Was amazing from the atmosphere to the server and food. Piano playing and singing was great. I will go back and well worth every penny. Oh and cocktails were amazing as well ���,
"September 15, 2016","Recently visited Halifax for one night, was looking for a place to have dinner. The Barrington was my random choice thanks to Google and social media. Glad I picked this place, one of the most enjoyable meals I've ever had! Nice quiet ambiance, service was very friendly and prompt and the food was delicious.  A definite must.",
"September 14, 2016",I loved the cozy atmosphere. The Servers were very attentive to my needs. The steak bread was out of this world. It was a very enjoyable experience. On top of it all they are mailing me coupons for a free entré. Awesome!,
"September 11, 2016","Hubby and I decided to try out the Steakhouse for our 2nd wedding anniversary last evening. The service was excellent, the food delicious and the atmosphere was perfect! We highly recommend trying it out, you will be impressed. Best broiled oysters I've ever had!",
"September 6, 2016","Stumbled upon this gem recently looking for a place to celebrate our 9th wedding anniversary.  Hubby and I are carnivores and love a good steak. A few years ago we had the best steaks of our lives in a high-end steakhouse in Toronto.  Sorry Toronto, you've been downgraded. The new best steaks of our lives happened right here in our hometown of Halifax at The Barrington Steakhouse & Oyster Bar.  The decor is stunning. The staff were all friendly, knowledgeable.  The food was absolutely AMAZING!  Every dish was prepared to perfection. The quality and quantity was worth every penny!  Well done.",
"August 14, 2016","Amazing! Yum. Perfectly cooked steak, beautiful and flavourful oysters. Best margaritas EVER. Don't change a thing! ☺️",
"August 2, 2016","Absolutely fantastic , from start to finish! :) Amazing steak,  ambiance, and our server Meghan was efficient and friendly! :) LOVED our experience!",
"July 25, 2016","The best place in Halifax for any occasions so far!!! Excellent, friendly and tailor-made service! Whole menu is delicious: from coffee to burgers, oysters and steaks! Outstanding interior!  Recommend for everybody to visit it and I am sure you will come back!",
"July 13, 2016","Blows CUT out of the water! Best steak in town, best service and atmosphere. Highly recommend this place.",
"July 11, 2016",Nice people very good service and food malpeque oysters great.. won't see freshness like this back home,
"July 9, 2016",This restaurant is amazing.. I can't wait to go again..food is delicious,
"July 8, 2016",fantastic. a true steakhouse finally in halifax. highly recommended!,
"July 7, 2016",Unbelievable food and unbelievable service! I recommend this place to everyone!,
"June 23, 2016","The steak was absolutely perfect (pure perfection) and the atmosphere was incredible. It was so inviting and such a great resemblance of a classy steakhouse. I would definitely go again, and again. Beautiful!",
"June 17, 2016",Always hesitant when visiting a place that has only been open for a short time but gave it a try...needless to say it did not disappoint. Great service from the welcome at the front door to the thanks for coming on the way out. Prices on the high end but selection and quality easily justify the cost. Will definitely return to explore more of the menu...wine and food,
"June 5, 2016",Fantastic steak and delicious oysters. Soon to be a Halifax icon!,
"June 3, 2016","We had a great time! We are really looking forward to going back to try more items on the menu and checking out their entertainment. Especially the piano. The decor was beautiful cozy but well lit and spacious. The fireplace will be amazing in the winter. Our waiter, Nick, was knowledgeable about the menu. He took great care to ensure our time there was a special experience. I especially liked that Nick kept our table clean, and stocked with fresh silverware through our courses. The meal was sooooo good! So good we have to back to try the desert menu. My only recommendation would be to have an alternative to the air hand dryer in the washroom. Highly recommend this place. Great addition to downtown",
"June 1, 2016","My dad and I just had supper at The Barrington Steakhouse in Halifax. Congratulations to Sam Murphy, the Murphy Group of Restaurants and staff. The restaurant is amazing - great location, food and service and congratulations Kathy on another beautifully decorated property.",
"May 30, 2016",Amazing food. Amazing service. A must visit when you are in Halifax.,
"May 25, 2016","Really enjoyed it all even so I'm a tourist from Calgary, AB",
February 23,,
February 20,,
February 15,,
January 14,,
"December 11, 2017",,
"November 26, 2017",,
"November 19, 2017",,
"October 29, 2017",,
"October 22, 2017",,
"October 12, 2017",,
"September 22, 2017",,
